Machine Name,Protocol,Local IP,Local Port,Foreign IP,Foreign Port,Connection Type,PID,Task Name,Task Description,Session,User,Comments
MARKEM-IMAJE-PC,TCP,0.0.0.0,135,0.0.0.0,0,LISTENING,768,svchost.exe,N/A,Services,NT AUTHORITY\NETWORK SERVICE,
MARKEM-IMAJE-PC,TCP,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,554,0.0.0.0,0,LISTENING,3208,wmpnetwk.exe,N/A,Services,NT AUTHORITY\NETWORK SERVICE,
MARKEM-IMAJE-PC,TCP,0.0.0.0,623,0.0.0.0,0,LISTENING,1572,LMS.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,1912,0.0.0.0,0,LISTENING,1632,servicestart.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,2869,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,5938,0.0.0.0,0,LISTENING,1348,TeamViewer_Service.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8084,0.0.0.0,0,LISTENING,2764,PrinterHost.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8990,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8994,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8995,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8996,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8998,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,8999,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,10243,0.0.0.0,0,LISTENING,4,System,N/A,Services,N/A,
MARKEM-IMAJE-PC,TCP,0.0.0.0,16992,0.0.0.0,0,LISTENING,1572,LMS.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,41920,0.0.0.0,0,LISTENING,1632,servicestart.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,49152,0.0.0.0,0,LISTENING,492,wininit.exe,N/A,Services,NT AUTHORITY\SYSTEM,
MARKEM-IMAJE-PC,TCP,0.0.0.0,49153,0.0.0.0,0,LISTENING,904,svchost.exe,N/A,Services,NT AUTHORITY\LOCAL SERVICE,
