Machine Name,Device Name,Description,Device Type,Connected,Safe To Unplug,Disabled,USB Hub,Drive Letter,Serial Number,Created Date,Last Plug/Unplug Date,VendorID,ProductID,Firmware Revision,USB Class,USB SubClass,USB Protocol,Hub / Port,Computer Name,Vendor Name,Product Name,ParentId Prefix,Service Name,Service Description,Driver Filename,Device Class,Device Mfg,Power,USB Version,Driver Description,Driver Version,Instance ID
MARKEM-IMAJE-PC,0000.001d.0000.001.001.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,0,0,,,"Logitech, Inc.",Unifying Receiver,8&12772a53&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_02\7&20f124c4&0&0002
MARKEM-IMAJE-PC,0000.001d.0000.001.001.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,1,2,,,"Logitech, Inc.",Unifying Receiver,8&364e6815&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_01\7&20f124c4&0&0001
MARKEM-IMAJE-PC,0000.001d.0000.001.001.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,1,1,,,"Logitech, Inc.",Unifying Receiver,8&2ea4c61b&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_00\7&20f124c4&0&0000
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,RNDIS,Remote NDIS,No,No,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,19d2,1403,50.33,e0,1,3,,,ZTE WCDMA Technologies MSM,,,,,,,,,,,,USB\VID_19D2&PID_1403&MI_00\7&e3480dd&0&0000
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,1,2,,,"Logitech, Inc.",Unifying Receiver,8&2f03e97a&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_01\7&33aad569&0&0001
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Mass Storage Device,Mass Storage,No,Yes,No,No,E:,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,19d2,1403,50.33,8,6,50,,,ZTE WCDMA Technologies MSM,,8&2e1310d2&0,USBSTOR,USB Mass Storage Driver,USBSTOR.SYS,USB,Compatible USB storage device,,,USB Mass Storage Device,6.1.7601.17577,USB\VID_19D2&PID_1403&MI_02\7&e3480dd&0&0002
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,0,0,,,"Logitech, Inc.",Unifying Receiver,8&17405d35&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_02\7&33aad569&0&0002
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,1,1,,,"Logitech, Inc.",Unifying Receiver,8&b2cabb8&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_00\7&33aad569&0&0000
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c31c,64,3,0,0,,,"Logitech, Inc.",Keyboard K120 for Business,8&d97dc44&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C31C&MI_01\7&17dae94b&0&0001
MARKEM-IMAJE-PC,0000.001d.0000.001.002.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c31c,64,3,1,1,,,"Logitech, Inc.",Keyboard K120 for Business,8&316f1a06&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C31C&MI_00\7&17dae94b&0&0000
MARKEM-IMAJE-PC,0000.001d.0000.001.004.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,1,2,,,"Logitech, Inc.",Unifying Receiver,8&38cc4250&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_01\7&1d836cac&0&0001
MARKEM-IMAJE-PC,0000.001d.0000.001.004.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,13ba,18,0.01,3,1,1,,,PCPlay,Barcode PCP-BCG4209,8&2a908c37&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Input Device,6.1.7601.18199,USB\VID_13BA&PID_0018&MI_00\7&2c41beb9&0&0000
MARKEM-IMAJE-PC,0000.001d.0000.001.004.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,13ba,18,0.01,3,1,2,,,PCPlay,Barcode PCP-BCG4209,8&6b94e75&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),,,USB Input Device,6.1.7601.18199,USB\VID_13BA&PID_0018&MI_01\7&2c41beb9&0&0001
MARKEM-IMAJE-PC,0000.001d.0000.001.004.000.000.000.000,USB Input Device,HID (Human Interface Device),No,Yes,No,No,,,8/23/2016 12:15:50 PM,8/23/2016 12:15:50 PM,046d,c52b,12.01,3,0,0,,,"Logitech, Inc.",Unifying Receiver,8&2c26ebe0&0,HidUsb,Microsoft HID Class Driver,hidusb.sys,HIDClass,(Standard system devices),98 mA,2,USB Input Device,6.1.7601.18199,USB\VID_046D&PID_C52B&MI_02\7&1d836cac&0&0002
