Computer Name,Machine Type
PEPWAP05225,Server
PEPWAP05226,Server
PEPWUD42077,HMI
PEPWUD40812,HMI
PEPWUD40883,HMI
PEPWUD37417,HMI
PEPWUD40811,HMI
PEPWKD12300,HMI
PEPWKD12301,HMI
PEPWUD42080,HMI
PEPWDS00326,Server
PEPWUD42079,HMI
PEPWUD40911,HMI
PEPWUD39431,HMI
MARKEM-IMAJE-PC,HMI
PEPWUD37406,HMI
PEPWKD12350,HMI
PEPWKD12353,HMI
PEPWKD12310,HMI
PEPWKD12345,HMI
PEPWKD12024,HMI
PEPWKD12359,HMI
PEPWKD12314,HMI
PEPWKD12315,HMI
PEPWKD12348,HMI
PEPWKD12355,HMI
PEPWKD12358,HMI
PEPWKD12116,HMI
PEPWKD12022,HMI
PEPWKD12309,HMI
PEPWKD12346,HMI
PEPWKD12307,HMI
PEPWUD26411,HMI
PEPWKD12095,HMI
PEPWKD12351,HMI
PEPWKD12313,HMI
PEPWKD12311,HMI
PEPWKD12312,HMI
PEPWKD12255,HMI
PEPWKD12352,HMI
PEPWKD12352,HMI
PEPWAP05714,Server
PEPWUD25007,Workstation
PEPWUD25365,Workstation
PEPWUD25368,Workstation
PEPWUD25370,Workstation
PEPWUD25006,Workstation
PEPWUD25006,Workstation
MARKEMIMAJE-PC,Workstation
PEPWUD25194,Workstation
PEPWUD25009,Workstation
PEPWUD25364,Workstation
PEPWUD25364,Workstation
PEPWUD42082,Workstation
PEPWUD42074,Workstation
PEPWUD42075,Workstation
